educ,cqlogwk_q10,cqlogwk_q25,cqlogwk_q75,cqlogwk_q50,cqlogwk_q90
5.0,5.09004688263,5.5033159256,6.24491739273,5.86778068542,6.48961591721
6.0,5.16589403152,5.60414218903,6.38956260681,6.01388502121,6.62681341171
7.0,5.24114370346,5.66275119781,6.41214704514,6.02525806427,6.66762685776
8.0,5.38464403152,5.79083776474,6.46772670746,6.15693473816,6.70686817169
9.0,5.47521781921,5.88520240784,6.52457618713,6.23858356476,6.74673843384
10.0,5.50202655792,5.93387460709,6.53982067108,6.28205871582,6.7809343338
11.0,5.52861738205,5.93387460709,6.5842628479,6.30149507523,6.78780221939
12.0,5.75163602829,6.14753198624,6.65393638611,6.4258646965,6.84991502762
13.0,5.80025959015,6.17673063278,6.71319770813,6.4692196846,6.97844219208
14.0,5.86133480072,6.22145223618,6.75038862228,6.49331188202,7.01057672501
15.0,5.79949951172,6.22145223618,6.84991502762,6.53982067108,7.13755559921
16.0,6.10755109787,6.44453334808,7.04600048065,6.77735710144,7.36067438126
17.0,6.22145223618,6.50909042358,7.03539800644,6.7809343338,7.36067438126
18.0,6.22145223618,6.53982067108,7.00693750381,6.7809343338,7.34047365189
19.0,6.01388502121,6.47335577011,7.0897102356,6.7809343338,7.43587493896
20.0,6.03546905518,6.53982067108,7.1729259491,6.84991502762,7.56311702728
